Age,Avg Monthly GB Download,Avg Monthly Long Distance Charges,Churn,City,Contract,Country,Dependents,Device Protection Plan,Gender,Internet Service,Internet Type,Latitude,Longitude,Married,Monthly Charge,Multiple Lines,Number of Dependents,Number of Referrals,Offer,Online Backup,Online Security,Paperless Billing,Partner,Payment Method,Phone Service,Population,Premium Tech Support,Quarter,Referred a Friend,Satisfaction Score,Senior Citizen,State,Streaming Movies,Streaming Music,Streaming TV,Tenure in Months,Total Extra Data Charges,Total Long Distance Charges,Total Refunds,Under 30,Unlimited Data,Zip Code
67,22,44.26,0,California City,One Year,United States,0,1,Female,1,Fiber Optic,35.151491,-117.927597,1,90.7,1,0,1,,0,0,1,1,Bank Withdrawal,1,8316,0,Q3,1,3,1,California,0,0,1,31,0,1372.06,0.0,0,1,93505
79,2,32.62,0,West Hills,Two Year,United States,0,0,Female,1,Fiber Optic,34.199787,-118.68493,1,69.3,0,0,1,Offer E,0,0,1,1,Bank Withdrawal,1,23637,0,Q3,1,4,1,California,0,0,0,2,0,65.24,0.0,0,1,91307
20,71,26.64,0,Willow Creek,One Year,United States,0,1,Male,1,DSL,40.949012,-123.655847,1,73.05,0,0,5,Offer B,0,1,1,1,Credit Card,1,1666,0,Q3,1,3,0,California,1,1,1,64,0,1704.96,0.0,1,1,95573
30,30,26.26,1,Earlimart,Month-to-Month,United States,0,0,Female,1,Fiber Optic,35.858054,-119.305858,0,69.55,0,0,0,,0,0,1,0,Bank Withdrawal,1,9318,0,Q3,0,1,0,California,0,0,0,3,0,78.78,0.0,0,1,93219
72,23,11.86,0,Bridgeport,Two Year,United States,1,0,Male,1,Cable,38.184583,-119.286558,0,54.55,0,1,0,,1,0,1,0,Bank Withdrawal,1,826,1,Q3,0,4,1,California,0,0,0,11,0,130.46,0.0,0,1,93517
62,7,30.61,1,Magalia,Month-to-Month,United States,0,1,Male,1,Fiber Optic,39.933852,-121.584371,0,76.65,0,0,0,,0,0,1,0,Bank Withdrawal,1,11168,0,Q3,0,2,0,California,0,0,0,17,0,520.37,0.0,0,1,95954
71,13,19.14,0,Murrieta,One Year,United States,0,1,Female,1,Fiber Optic,33.548869,-117.334165,1,94.05,1,0,0,,1,1,1,1,Bank Withdrawal,1,36149,1,Q3,0,3,1,California,0,0,0,59,30,1129.26,0.0,0,0,92562
48,9,27.41,0,Goleta,Two Year,United States,0,1,Female,1,DSL,34.489983,-120.091246,1,70.9,1,0,2,,1,1,0,1,Credit Card,1,49975,1,Q3,1,4,0,California,0,0,0,68,0,1863.88,49.37,0,1,93117
22,59,2.73,0,Stockton,Two Year,United States,1,1,Male,1,DSL,37.965695,-121.260051,1,81.0,1,3,8,,1,1,0,1,Credit Card,1,34138,1,Q3,1,3,0,California,1,1,0,72,0,196.56,0.0,1,1,95205
38,20,27.89,1,Van Nuys,Month-to-Month,United States,0,0,Male,1,Fiber Optic,34.17847,-118.459472,0,70.05,0,0,0,,0,0,1,0,Bank Withdrawal,1,23646,0,Q3,0,2,0,California,0,0,0,1,0,27.89,0.0,0,1,91411
46,0,43.8,0,El Centro,One Year,United States,0,0,Female,0,,32.770393,-115.60915,0,19.75,0,0,0,,0,0,0,0,Bank Withdrawal,1,43712,0,Q3,0,4,0,California,0,0,0,32,0,1401.6,0.0,0,0,92243
47,3,17.07,0,Placerville,Month-to-Month,United States,0,0,Male,1,DSL,38.733714,-120.795213,0,61.15,1,0,0,Offer E,1,1,0,0,Bank Withdrawal,1,34146,0,Q3,0,4,0,California,0,0,0,1,0,17.07,0.0,0,1,95667
48,20,38.5,0,Culver City,Month-to-Month,United States,1,0,Male,1,Fiber Optic,33.993991,-118.39704,1,69.8,0,3,9,,0,0,1,1,Bank Withdrawal,1,31963,0,Q3,1,4,0,California,0,0,0,6,0,231.0,0.0,0,1,90230
68,19,8.97,1,Forbestown,Month-to-Month,United States,0,1,Male,1,Fiber Optic,39.531028,-121.24807,1,100.05,1,0,1,,0,0,1,1,Bank Withdrawal,1,452,0,Q3,1,1,1,California,1,0,1,47,0,421.59,0.0,0,1,95941
48,0,19.28,0,Huntington Park,Two Year,United States,1,0,Female,0,,33.97803,-118.217141,1,20.3,0,3,3,,0,0,0,1,Bank Withdrawal,1,78114,0,Q3,1,5,0,California,0,0,0,12,0,231.36,0.0,0,0,90255
60,0,47.46,0,Chester,Month-to-Month,United States,0,0,Female,0,,40.243494,-121.154733,0,20.0,0,0,0,,0,0,0,0,Mailed Check,1,2664,0,Q3,0,3,0,California,0,0,0,6,0,284.76,0.0,0,0,96020
50,28,22.05,1,Hawthorne,Month-to-Month,United States,0,0,Male,1,Cable,33.914775,-118.348083,0,59.85,1,0,0,,0,0,1,0,Bank Withdrawal,1,93315,0,Q3,0,2,0,California,0,0,1,1,0,22.05,0.0,0,1,90250
80,5,28.64,1,Escondido,Month-to-Month,United States,0,0,Female,1,Fiber Optic,33.141265,-116.967221,0,71.0,0,0,0,,0,0,1,0,Bank Withdrawal,1,48690,0,Q3,0,3,1,California,0,0,0,1,0,28.64,0.0,0,1,92027
76,10,42.29,0,Cathedral City,One Year,United States,0,0,Female,1,Fiber Optic,33.829583,-116.474131,1,95.05,1,0,10,,0,0,1,1,Bank Withdrawal,1,43141,0,Q3,1,4,1,California,1,0,1,42,100,1776.18,0.0,0,0,92234
34,0,40.91,0,Santa Barbara,Two Year,United States,0,0,Female,0,,34.438581,-119.685368,1,19.85,0,0,0,,0,0,0,1,Credit Card,1,20893,0,Q3,0,4,0,California,0,0,0,70,0,2863.7,33.29,0,0,93103
30,30,17.22,1,Elk Grove,Month-to-Month,United States,0,0,Male,1,Fiber Optic,38.35363,-121.44195,0,76.5,1,0,0,Offer E,0,0,1,0,Bank Withdrawal,1,47065,0,Q3,0,1,0,California,0,0,0,2,0,34.44,0.0,0,1,95758
50,11,35.49,1,San Dimas,Month-to-Month,United States,1,1,Female,1,Cable,34.102119,-117.815532,0,72.9,0,2,0,,0,0,1,0,Credit Card,1,33878,1,Q3,0,1,0,California,1,1,1,9,0,319.41,0.0,0,1,91773
28,52,35.2,0,Cedar Glen,Month-to-Month,United States,1,0,Female,1,DSL,34.255203,-117.175654,1,58.5,1,3,9,,1,0,1,1,Credit Card,1,455,1,Q3,1,3,0,California,0,0,0,4,0,140.8,0.0,1,1,92321
46,0,44.84,0,Los Angeles,Two Year,United States,0,0,Female,0,,34.028735,-118.317236,1,25.05,1,0,0,,0,0,0,1,Credit Card,1,47143,0,Q3,0,5,0,California,0,0,0,71,0,3183.64,0.0,0,0,90018
69,19,45.88,1,San Diego,Month-to-Month,United States,0,1,Female,1,Fiber Optic,32.961064,-117.134917,0,91.7,1,0,0,,1,1,0,0,Credit Card,1,47224,0,Q3,0,1,1,California,0,0,0,30,0,1376.4,0.0,0,1,92129
35,56,12.96,0,Plymouth,Two Year,United States,1,1,Female,1,DSL,38.489273,-120.891614,1,80.45,0,3,3,,0,1,1,1,Bank Withdrawal,1,2220,1,Q3,1,3,0,California,1,1,1,72,0,933.12,0.0,0,1,95669
37,14,2.72,0,Ione,Month-to-Month,United States,0,0,Male,1,Fiber Optic,38.33788,-120.954202,0,70.7,0,0,0,Offer E,0,0,0,0,Credit Card,1,9752,0,Q3,0,4,0,California,0,0,0,2,10,5.44,0.0,0,0,95640
60,0,18.64,0,Somes Bar,Two Year,United States,1,0,Female,0,,41.444606,-123.471895,1,20.2,0,2,6,Offer B,0,0,0,1,Bank Withdrawal,1,202,0,Q3,1,5,0,California,0,0,0,48,0,894.72,0.0,0,0,95568
39,6,14.07,1,Boulder Creek,Month-to-Month,United States,0,0,Female,1,Fiber Optic,37.171727,-122.142961,0,85.7,1,0,0,,0,0,1,0,Bank Withdrawal,1,10520,0,Q3,0,2,0,California,1,1,0,2,0,28.14,0.0,0,1,95006
35,13,22.33,1,Los Angeles,Month-to-Month,United States,0,0,Female,1,DSL,34.002642,-118.287596,1,60.05,1,0,1,,1,0,1,1,Bank Withdrawal,1,56709,1,Q3,1,2,0,California,0,0,0,26,0,580.58,0.0,0,1,90037
20,27,26.63,0,Esparto,Month-to-Month,United States,1,0,Male,1,DSL,38.834469,-122.127193,0,44.0,0,1,0,Offer D,0,0,0,0,Credit Card,1,2756,0,Q3,0,3,0,California,0,1,0,13,0,346.19,0.0,1,1,95627
59,76,29.5,0,Sacramento,One Year,United States,1,1,Male,1,DSL,38.517295,-121.439819,1,75.1,0,3,0,Offer A,1,1,1,1,Bank Withdrawal,1,30580,1,Q3,0,4,0,California,0,0,1,66,0,1947.0,0.0,0,1,95824
27,0,43.5,0,Thousand Palms,Month-to-Month,United States,0,0,Male,0,,33.849263,-116.382778,0,19.9,0,0,0,Offer D,0,0,0,0,Credit Card,1,6242,0,Q3,0,3,0,California,0,0,0,14,0,609.0,0.0,1,0,92276
39,13,35.18,1,Lebec,Month-to-Month,United States,0,0,Female,1,Fiber Optic,34.845861,-118.885163,1,74.75,1,0,1,Offer E,0,0,1,1,Credit Card,1,1247,0,Q3,1,1,0,California,0,0,0,3,0,105.54,0.0,0,1,93243
63,20,27.0,0,Newark,Two Year,United States,0,1,Female,1,Cable,37.504133,-122.032347,0,64.75,0,0,0,Offer B,1,0,1,0,Mailed Check,1,42491,0,Q3,0,3,0,California,1,1,0,55,0,1485.0,0.0,0,1,94560
71,21,0.0,0,Greenville,Month-to-Month,United States,0,0,Male,1,DSL,40.160386,-120.835428,1,29.45,0,0,1,Offer B,1,0,1,1,Credit Card,0,2064,0,Q3,1,4,1,California,0,0,0,51,0,0.0,0.0,0,1,95947
38,30,0.0,0,Fiddletown,Two Year,United States,0,1,Female,1,Cable,38.513484,-120.704613,0,43.6,0,0,0,Offer B,1,0,1,0,Credit Card,0,850,0,Q3,0,4,0,California,1,1,0,62,0,0.0,0.0,0,1,95629
76,15,3.42,0,Glendale,Two Year,United States,0,0,Female,1,Fiber Optic,34.167926,-118.267539,1,83.45,0,0,0,,0,1,1,1,Bank Withdrawal,1,21990,0,Q3,0,3,1,California,1,0,0,38,0,129.96,24.98,0,1,91202
76,9,0.0,0,Loomis,Two Year,United States,0,1,Male,1,DSL,38.809175,-121.171375,1,64.45,0,0,9,,1,1,1,1,Credit Card,0,11191,1,Q3,1,5,1,California,1,1,1,72,0,0.0,0.0,0,1,95650
62,20,44.0,0,San Bernardino,Two Year,United States,1,0,Male,1,Fiber Optic,34.183286,-117.221722,1,84.5,1,2,4,Offer A,0,0,1,1,Credit Card,1,53636,0,Q3,1,5,0,California,1,1,0,72,0,3168.0,0.0,0,1,92404
44,0,10.83,0,Redondo Beach,Two Year,United States,0,0,Female,0,,33.873395,-118.37019,0,20.5,0,0,0,Offer B,0,0,1,0,Credit Card,1,37322,0,Q3,0,5,0,California,0,0,0,54,0,584.82,0.0,0,0,90278
74,4,46.5,1,Paskenta,Month-to-Month,United States,0,0,Male,1,Cable,39.884395,-122.587513,1,86.65,1,0,2,,0,0,1,1,Bank Withdrawal,1,263,0,Q3,1,1,1,California,1,0,0,10,0,465.0,0.0,0,1,96074
66,28,45.37,0,Roseville,One Year,United States,0,0,Female,1,Fiber Optic,38.784329,-121.373245,1,97.8,1,0,5,Offer B,1,0,1,1,Bank Withdrawal,1,25418,0,Q3,1,3,1,California,1,0,1,58,0,2631.46,0.0,0,1,95747
33,10,33.82,0,Roseville,One Year,United States,1,1,Male,1,Fiber Optic,38.759751,-121.288545,1,105.05,1,2,2,,0,0,1,1,Bank Withdrawal,1,30614,1,Q3,1,5,0,California,1,1,1,58,0,1961.56,0.0,0,1,95678
58,21,1.88,0,San Diego,Month-to-Month,United States,0,0,Male,1,DSL,32.76501,-117.19938,0,50.8,0,0,0,Offer E,0,0,1,0,Credit Card,1,24169,1,Q3,0,5,0,California,0,0,0,4,0,7.52,0.0,0,1,92110
59,26,0.0,1,Deer Park,Month-to-Month,United States,0,1,Male,1,DSL,38.554383,-122.474773,0,33.5,0,0,0,Offer D,1,0,1,0,Credit Card,0,223,0,Q3,0,2,0,California,0,0,0,18,0,0.0,0.0,0,1,94576
60,0,47.33,0,Baker,One Year,United States,0,0,Male,0,,35.28952,-116.092214,0,24.6,1,0,0,Offer C,0,0,0,0,Bank Withdrawal,1,904,0,Q3,0,3,0,California,0,0,0,24,0,1135.92,0.0,0,0,92309
19,59,37.32,0,Escondido,One Year,United States,0,1,Male,1,DSL,33.141265,-116.967221,0,88.8,1,0,0,Offer A,1,1,1,0,Bank Withdrawal,1,48690,1,Q3,0,3,0,California,1,1,1,67,0,2500.44,0.0,1,1,92027
47,26,4.34,0,Groveland,One Year,United States,0,0,Male,1,Fiber Optic,37.902968,-119.667544,0,104.85,1,0,0,Offer C,1,1,1,0,Bank Withdrawal,1,3680,0,Q3,0,4,0,California,1,1,1,38,0,164.92,0.0,0,1,95321
54,0,15.51,1,Encino,Month-to-Month,United States,0,0,Female,0,,34.150354,-118.518292,0,20.9,0,0,0,Offer E,0,0,0,0,Credit Card,1,27614,0,Q3,0,3,0,California,0,0,0,1,0,15.51,0.0,0,0,91316
56,30,29.29,0,Raisin City,Two Year,United States,0,1,Male,1,DSL,36.594542,-119.905245,1,82.3,1,0,1,Offer A,1,1,1,1,Bank Withdrawal,1,265,1,Q3,1,3,0,California,1,1,0,72,140,2108.88,0.0,0,0,93652
63,3,44.73,1,Fallbrook,Month-to-Month,United States,0,0,Male,1,Fiber Optic,33.362575,-117.299644,1,74.6,1,0,1,Offer E,0,0,1,1,Bank Withdrawal,1,42239,0,Q3,1,1,0,California,0,0,0,1,0,44.73,0.0,0,1,92028
63,10,20.13,0,San Mateo,Month-to-Month,United States,1,0,Female,1,DSL,37.556094,-122.272437,0,64.1,0,1,0,,0,1,1,0,Credit Card,1,31882,1,Q3,0,3,0,California,0,0,1,40,0,805.2,0.0,0,1,94404
58,57,0.0,0,Cottonwood,Two Year,United States,1,0,Male,1,DSL,40.336392,-122.448533,1,40.55,0,3,0,,1,1,0,1,Credit Card,0,12348,1,Q3,0,3,0,California,0,0,0,13,0,0.0,0.0,0,1,96022
26,85,21.45,0,Benicia,One Year,United States,0,1,Male,1,Fiber Optic,38.113533,-122.11926,0,104.5,1,0,0,,1,1,0,0,Credit Card,1,25578,1,Q3,0,4,0,California,0,0,1,63,0,1351.35,0.0,1,1,94510
68,13,15.82,0,Berry Creek,Two Year,United States,0,1,Female,1,DSL,39.657228,-121.37778,1,78.45,1,0,10,,1,1,0,1,Bank Withdrawal,1,1279,1,Q3,1,3,1,California,1,1,0,72,0,1139.04,0.0,0,1,95916
33,20,43.14,0,Paicines,Month-to-Month,United States,0,1,Female,1,Fiber Optic,36.525703,-120.952122,0,103.1,1,0,0,Offer A,1,1,1,0,Bank Withdrawal,1,813,1,Q3,0,3,0,California,1,1,0,66,0,2847.24,0.0,0,1,95043
49,28,0.0,0,Yuba City,Two Year,United States,1,1,Male,1,DSL,39.075694,-121.70606,1,54.65,0,3,0,,0,0,0,1,Bank Withdrawal,0,27786,1,Q3,0,5,0,California,1,1,1,66,0,0.0,46.75,0,1,95993
58,7,0.0,0,Sunset Beach,Two Year,United States,0,1,Female,1,DSL,33.719221,-118.073596,0,49.85,0,0,0,Offer D,0,1,0,0,Credit Card,0,1107,1,Q3,0,3,0,California,1,1,0,12,0,0.0,0.0,0,1,90742
20,85,42.59,0,Bakersfield,Two Year,United States,0,1,Male,1,DSL,35.559617,-118.925185,0,71.9,1,0,0,Offer B,0,1,1,0,Bank Withdrawal,1,44915,1,Q3,0,4,0,California,1,1,0,63,0,2683.17,0.0,1,1,93308
42,27,38.53,0,Warner Springs,Two Year,United States,0,1,Female,1,DSL,33.323705,-116.626907,1,78.8,0,0,1,,0,1,1,1,Bank Withdrawal,1,1205,1,Q3,1,4,0,California,1,1,1,43,0,1656.79,24.9,0,1,92086
30,59,31.67,1,Soulsbyville,Month-to-Month,United States,0,1,Male,1,Cable,37.990574,-120.261821,1,79.35,1,0,1,,0,0,1,1,Bank Withdrawal,1,1519,0,Q3,1,3,0,California,0,0,0,9,10,285.03,0.0,0,0,95372
50,12,13.69,0,Folsom,One Year,United States,0,0,Male,1,Fiber Optic,38.672638,-121.147403,0,91.25,0,0,0,Offer C,1,0,1,0,Bank Withdrawal,1,51855,1,Q3,0,5,0,California,0,0,1,28,0,383.32,0.0,0,1,95630
56,19,39.07,0,Heber,Two Year,United States,1,0,Female,1,DSL,32.730583,-115.501083,1,61.4,1,2,10,,0,1,0,1,Credit Card,1,3535,1,Q3,1,3,0,California,0,0,0,69,0,2695.83,0.0,0,1,92249
76,19,38.85,0,Mi Wuk Village,Two Year,United States,0,1,Male,1,Fiber Optic,38.121601,-120.133915,0,101.4,1,0,0,,0,0,1,0,Credit Card,1,1278,0,Q3,0,4,1,California,1,0,1,67,0,2602.95,0.0,0,1,95346
23,0,16.42,0,San Francisco,One Year,United States,0,0,Male,0,,37.776718,-122.495781,1,24.15,1,0,1,Offer B,0,0,0,1,Bank Withdrawal,1,42476,0,Q3,1,3,0,California,0,0,0,60,0,985.2,0.0,1,0,94121
22,51,18.62,0,Elk,Month-to-Month,United States,0,0,Male,1,DSL,39.108252,-123.645121,0,50.3,0,0,0,Offer E,1,0,1,0,Credit Card,1,383,0,Q3,0,5,0,California,0,0,0,2,0,37.24,0.0,1,1,95432
50,21,0.0,1,Glendale,Month-to-Month,United States,0,1,Male,1,DSL,34.13658,-118.245839,0,39.65,0,0,0,,0,0,1,0,Bank Withdrawal,0,41390,0,Q3,0,1,0,California,0,0,1,19,0,0.0,0.0,0,1,91205
44,24,44.14,0,Bass Lake,Month-to-Month,United States,1,1,Female,1,DSL,37.458367,-119.345011,0,59.8,0,1,0,Offer D,0,0,1,0,Credit Card,1,613,0,Q3,0,4,0,California,0,0,1,14,0,617.96,0.0,0,1,93604
41,19,14.64,0,Santa Margarita,Month-to-Month,United States,1,0,Female,1,DSL,35.303926,-120.256567,1,50.2,0,2,1,Offer B,1,0,0,1,Mailed Check,1,2687,0,Q3,1,4,0,California,0,0,0,43,0,629.52,0.0,0,1,93453
47,6,44.45,0,Stirling City,One Year,United States,0,0,Male,1,DSL,39.904002,-121.527823,1,70.5,0,0,7,,1,1,0,1,Credit Card,1,28,1,Q3,1,4,0,California,1,1,0,32,0,1422.4,0.0,0,1,95978
61,0,33.92,0,San Jose,Two Year,United States,1,0,Male,0,,37.218705,-121.762429,1,26.1,1,2,2,,0,0,0,1,Credit Card,1,7023,0,Q3,1,3,0,California,0,0,0,72,0,2442.24,0.0,0,0,95139
75,25,1.92,0,Avila Beach,Two Year,United States,0,1,Male,1,Fiber Optic,35.186644,-120.728305,0,93.9,1,0,0,Offer D,0,0,0,0,Bank Withdrawal,1,812,1,Q3,0,4,1,California,0,0,1,18,0,34.56,0.0,0,1,93424
43,12,31.31,0,Temecula,One Year,United States,0,1,Male,1,Fiber Optic,33.475493,-117.219551,0,91.25,0,0,0,Offer B,0,1,0,0,Bank Withdrawal,1,3070,0,Q3,0,3,0,California,0,0,1,52,0,1628.12,0.0,0,1,92590
29,0,3.58,0,Bellflower,One Year,United States,0,0,Male,0,,33.887676,-118.127289,0,19.5,0,0,0,Offer C,0,0,1,0,Bank Withdrawal,1,72893,0,Q3,0,4,0,California,0,0,0,25,0,89.5,0.0,1,0,90706
75,18,26.82,0,Chula Vista,One Year,United States,0,1,Female,1,Cable,32.64164,-116.985026,1,68.45,1,0,1,,1,1,1,1,Credit Card,1,12884,1,Q3,1,4,1,California,0,0,0,56,0,1501.92,0.0,0,1,91913
21,48,23.52,0,Sunol,Month-to-Month,United States,0,0,Male,1,DSL,37.587494,-121.862856,0,70.3,0,0,0,,0,0,0,0,Bank Withdrawal,1,790,1,Q3,0,3,0,California,1,1,1,2,0,47.04,0.0,1,1,94586
42,21,8.29,0,Rio Linda,Month-to-Month,United States,0,1,Female,1,DSL,38.688764,-121.457596,0,62.8,0,0,0,,0,0,0,0,Bank Withdrawal,1,14010,1,Q3,0,4,0,California,1,1,0,7,0,58.03,0.0,0,1,95673
30,53,0.0,1,South Dos Palos,Month-to-Month,United States,0,0,Female,1,DSL,36.959731,-120.653519,0,23.9,0,0,0,,0,0,1,0,Bank Withdrawal,0,343,0,Q3,0,3,0,California,0,0,0,13,0,0.0,0.0,0,1,93665
59,18,47.64,0,Norwalk,Two Year,United States,0,0,Male,1,Fiber Optic,33.905963,-118.08263,0,88.95,0,0,0,Offer C,0,1,1,0,Bank Withdrawal,1,103214,1,Q3,0,3,0,California,0,0,1,33,0,1572.12,0.0,0,1,90650
45,25,22.52,0,Brookdale,One Year,United States,0,0,Male,1,Fiber Optic,37.106902,-122.100006,0,106.65,1,0,0,,1,0,1,0,Bank Withdrawal,1,1007,1,Q3,0,5,0,California,1,1,1,49,130,1103.48,0.0,0,0,95007
77,19,6.97,1,Lewiston,Month-to-Month,United States,0,0,Male,1,Fiber Optic,40.704293,-122.803899,1,80.45,0,0,1,Offer D,0,0,1,1,Bank Withdrawal,1,1845,0,Q3,1,2,1,California,1,0,0,12,0,83.64,0.0,0,1,96052
48,4,19.22,0,Milford,One Year,United States,0,1,Male,1,Fiber Optic,40.181279,-120.392967,1,102.5,1,0,8,Offer B,1,0,0,1,Bank Withdrawal,1,481,0,Q3,1,5,0,California,1,1,1,60,0,1153.2,0.0,0,1,96121
42,26,10.9,0,Bakersfield,Two Year,United States,1,0,Male,1,Cable,35.559617,-118.925185,1,54.2,0,2,1,Offer A,1,1,1,1,Bank Withdrawal,1,44915,0,Q3,1,4,0,California,0,0,0,67,10,730.3,0.0,0,0,93308
76,19,34.39,0,Bakersfield,One Year,United States,0,0,Male,1,Fiber Optic,35.140938,-119.051348,0,104.65,1,0,0,Offer C,1,0,1,0,Bank Withdrawal,1,25126,1,Q3,0,4,1,California,1,0,1,27,0,928.53,0.0,0,1,93313
21,73,32.08,1,Concord,Month-to-Month,United States,0,0,Male,1,DSL,38.013825,-122.039144,1,44.7,0,0,1,,0,0,0,1,Credit Card,1,36186,0,Q3,1,3,0,California,0,1,0,1,0,32.08,0.0,1,1,94520
80,17,39.51,0,Los Angeles,Month-to-Month,United States,0,0,Female,1,Fiber Optic,34.088017,-118.327168,1,74.6,0,0,3,Offer E,1,0,1,1,Bank Withdrawal,1,32562,0,Q3,1,5,1,California,0,0,0,3,30,118.53,0.0,0,0,90038
62,20,11.74,0,Upper Lake,Month-to-Month,United States,1,1,Male,1,Fiber Optic,39.220368,-122.907693,1,90.4,0,3,10,Offer B,1,0,1,1,Credit Card,1,2344,0,Q3,1,3,0,California,0,0,1,49,0,575.26,0.0,0,1,95485
69,2,10.55,0,Acton,Month-to-Month,United States,0,0,Male,1,Fiber Optic,34.501452,-118.207862,1,79.3,1,0,0,,0,0,1,1,Bank Withdrawal,1,7831,1,Q3,0,5,1,California,0,0,0,29,0,305.95,0.0,0,1,93510
77,8,40.5,0,Riverside,Two Year,United States,0,1,Male,1,DSL,33.994676,-117.372498,1,74.85,1,0,7,,0,0,0,1,Bank Withdrawal,1,18999,0,Q3,1,5,1,California,1,0,1,30,0,1215.0,0.0,0,1,92501
33,25,18.75,0,San Lucas,Month-to-Month,United States,0,0,Female,1,Fiber Optic,36.125529,-120.864443,0,86.55,1,0,0,Offer D,0,0,1,0,Bank Withdrawal,1,521,0,Q3,0,5,0,California,1,1,0,12,110,225.0,0.0,0,0,93954
73,20,0.0,0,Artesia,One Year,United States,0,0,Male,1,DSL,33.867593,-118.080637,0,56.45,0,0,0,Offer A,1,1,1,0,Bank Withdrawal,0,16398,0,Q3,0,3,1,California,1,1,1,71,0,0.0,0.0,0,1,90701
32,13,2.45,0,Rancho Santa Fe,One Year,United States,0,1,Female,1,Fiber Optic,33.012751,-117.200617,0,103.7,0,0,0,Offer B,0,1,1,0,Bank Withdrawal,1,7615,1,Q3,0,4,0,California,1,1,1,47,0,115.15,0.0,0,1,92067
30,30,37.65,0,Newport Beach,One Year,United States,0,1,Female,1,Fiber Optic,33.606336,-117.893042,0,94.75,1,0,0,Offer B,1,0,1,0,Bank Withdrawal,1,3124,0,Q3,0,4,0,California,0,0,1,54,70,2033.1,0.0,0,0,92662
64,17,32.87,1,Oakland,Month-to-Month,United States,0,0,Female,1,Fiber Optic,37.834341,-122.26437,0,95.15,1,0,0,Offer D,1,1,1,0,Bank Withdrawal,1,21097,0,Q3,0,3,0,California,1,1,0,19,120,624.53,0.0,0,0,94609
37,0,48.14,0,Lancaster,Month-to-Month,United States,0,0,Male,0,,34.727529,-118.153098,0,20.8,0,0,0,Offer E,0,0,0,0,Credit Card,1,35109,0,Q3,0,4,0,California,0,0,0,1,0,48.14,0.0,0,0,93534
